Name,Type,Industry,BillingStreet,BillingCity,BillingState,BillingPostalCode,BillingCountry,Phone,Website,AnnualRevenue,NumberOfEmployees,Description,OwnerId
Acme Corporation,Customer - Direct,Technology,"123 Tech Drive",San Francisco,CA,94105,USA,(415) 555-0123,www.acmecorp.com,5000000,250,"Leading provider of innovative technology solutions for enterprise clients",005000000012345
Global Solutions Inc,Customer - Channel,Manufacturing,"456 Industrial Blvd",Detroit,MI,48201,USA,(313) 555-0456,www.globalsolutions.com,12000000,500,"International manufacturing company specializing in automotive parts",005000000012346
TechStart Innovations,Prospect,Software,"789 Startup Way",Austin,TX,73301,USA,(512) 555-0789,www.techstart.io,800000,45,"Emerging software company focused on AI and machine learning applications",005000000012347
MegaRetail Corp,Customer - Direct,Retail,"321 Commerce St",New York,NY,10001,USA,(212) 555-0321,www.megaretail.com,25000000,1200,"Large retail chain with nationwide presence and e-commerce platform",005000000012348
Healthcare Partners LLC,Customer - Direct,Healthcare,"654 Medical Center Dr",Boston,MA,02101,USA,(617) 555-0654,www.healthcarepartners.com,8000000,350,"Comprehensive healthcare services provider serving the Northeast region",005000000012349
EcoEnergy Solutions,Prospect,Energy,"987 Green Valley Rd",Portland,OR,97201,USA,(503) 555-0987,www.ecoenergy.com,3200000,150,"Renewable energy solutions and consulting services for commercial clients",005000000012350
Financial Advisors Group,Customer - Channel,Financial Services,"147 Wall Street",New York,NY,10005,USA,(212) 555-0147,www.finadvgroup.com,15000000,800,"Investment management and financial advisory services for institutions",005000000012351
CloudTech Systems,Customer - Direct,Technology,"258 Cloud Ave",Seattle,WA,98101,USA,(206) 555-0258,www.cloudtech.com,6500000,280,"Cloud infrastructure and SaaS solutions for mid-market businesses",005000000012352
AgriCorp Holdings,Prospect,Agriculture,"369 Farm Road",Des Moines,IA,50301,USA,(515) 555-0369,www.agricorp.com,4800000,200,"Agricultural equipment and services supporting modern farming operations",005000000012353
Educational Resources Inc,Customer - Direct,Education,"741 University Blvd",Chicago,IL,60601,USA,(312) 555-0741,www.eduresources.com,2100000,120,"Educational technology and curriculum development for K-12 institutions",005000000012354
